Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
I,8/24/2021,232.5,53,19,7,5,1,1,9,1,,
I,8/25/2021,347,49,10,8,4,4,3,11,2,,
I,8/26/2021,313,45,9,8,5,2,3,11,,,
I,8/27/2021,142,45,17,6,2,2,,2,,,
I,8/28/2021,115,41,14,6,,,,,,,
I,8/29/2021,132,44,14,8,2,,,,,,
I,8/30/2021,195.5,56,26,15,2,1,,2,,,
I,8/31/2021,177,41,16,7,3,2,,,,,
I,9/1/2021,205,55,16,10,2,,,11,1,,
I,9/2/2021,244,54,16,9,3,6,3,8,,,
I,9/3/2021,186,51,21,8,4,3,1,,,,
I,9/4/2021,165,44,21,4,1,1,,3,,,
I,9/5/2021,183,49,13,6,3,,1,9,,,
I,9/6/2021,269,52,16,6,11,4,2,4,,,
I,9/7/2021,289,64,11,11,5,9,4,11,,,
I,9/8/2021,264,38,11,12,3,3,2,2,,,
I,9/9/2021,187,44,20,6,,6,1,2,,,
I,9/10/2021,166,56,26,7,5,,,1,,,
I,9/11/2021,129.5,38,16,5,,,,,,,
I,9/12/2021,137,44,19,4,,,,1,,,
I,9/13/2021,192,61,26,11,3,,,8,,,
I,9/14/2021,204,58,18,8,4,4,1,9,,,
I,9/15/2021,180,46,18,8,6,1,1,,,,
I,9/16/2021,170,57,36,5,,1,,3,,,
I,9/17/2021,151,49,27,4,5,,,,,,
I,9/18/2021,147,44,19,5,1,1,,,,,
I,9/19/2021,122,43,14,4,3,,,,1,,
I,9/20/2021,176,58,26,11,2,,,,,,
I,9/21/2021,257.5,48,14,11,5,8,1,2,,,
I,9/22/2021,210,60,21,12,3,2,1,7,,,
I,9/23/2021,213,45,21,13,3,,,3,,,
I,9/24/2021,136,49,17,7,,1,,,,,
I,9/25/2021,188,46,19,9,2,1,1,2,,,
I,9/26/2021,158.5,46,18,9,2,1,1,2,,,
I,9/27/2021,237,62,23,17,2,1,,8,1,,
I,9/28/2021,166.5,47,20,5,3,,2,2,,,
I,9/29/2021,163,49,26,6,,1,,,,,
I,9/30/2021,149,59,30,6,2,,1,2,,,
I,10/1/2021,145,48,24,8,1,,,,,,
I,10/2/2021,175,55,28,8,1,1,,2,1,,
I,10/3/2021,191,49,18,7,5,4,,3,,,
I,10/4/2021,284.5,67,18,13,5,2,2,15,,,
I,10/5/2021,169,36,17,6,3,,,,,,
I,10/6/2021,203,58,19,10,5,1,4,6,,,
I,10/7/2021,202,58,20,8,2,6,1,8,,,
I,10/8/2021,163,51,17,7,2,3,2,2,,,
I,10/9/2021,137,43,18,4,1,1,3,,,,
I,10/10/2021,248,46,12,8,2,6,1,7,,,
I,10/11/2021,366.5,51,4,14,6,10,2,8,1,,
I,10/12/2021,152.5,50,24,7,2,2,,1,,,
I,10/13/2021,153,48,21,5,6,,1,,,,
I,10/14/2021,176,49,29,7,,,,1,,,
I,10/15/2021,172,51,28,7,1,2,1,,,,
I,10/16/2021,136,45,18,4,,1,2,1,,,
I,10/17/2021,153,50,20,12,,,,1,,,
I,10/18/2021,211,48,16,13,4,,,5,,,
I,10/19/2021,154,54,25,6,4,3,,,,,
