Hospital ,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
A,10/1/2021,195.5,27,8,3,3,,1,2,1,,
A,10/2/2021,253.5,21,8,5,1,,1,4,,,
A,10/3/2021,532,13,2,,,1,4,1,,,
A,10/4/2021,359,21,,7,2,2,,3,,,
A,10/5/2021,103,24,4,2,,,,,,1,
A,10/6/2021,315.5,22,6,2,2,1,3,3,,,
A,10/7/2021,688,21,3,2,,,1,8,1,,
A,10/8/2021,693,19,3,,2,1,1,7,1,,
A,10/9/2021,"1,093",18,,2,,,1,7,1,,
A,10/10/2021,754,13,2,,1,1,,6,,,
A,10/11/2021,112.5,21,3,1,1,1,1,,,,
A,10/12/2021,126,26,3,,2,2,,2,,,
A,10/13/2021,232.5,28,8,4,3,,1,2,,,
A,10/14/2021,417,23,4,3,3,2,,4,2,,
A,10/15/2021,254,21,4,2,2,2,,3,,,
A,10/16/2021,256.5,12,4,1,1,1,1,,,,
A,10/17/2021,175,16,6,2,1,,1,2,,,
A,10/18/2021,100,25,2,4,2,,,1,,,
A,10/19/2021,147.5,25,7,3,2,1,,,,,
A,10/20/2021,132,11,4,,2,,,,,,
A,10/21/2021,157,16,5,1,1,1,1,,1,,
A,10/22/2021,97,16,2,1,,,,,,,
A,10/23/2021,264,22,4,3,1,,1,5,,,
A,10/24/2021,143,16,4,2,1,,,1,,,
A,10/25/2021,243,28,7,4,1,4,2,2,,,
A,10/26/2021,266,28,8,6,4,1,1,1,,,
A,10/27/2021,199,25,10,2,1,2,1,1,,,
A,10/28/2021,379,19,2,4,4,3,1,2,,,
A,10/29/2021,180,21,8,4,,,,3,,,
A,10/30/2021,660,16,2,2,1,1,5,3,,,
A,10/31/2021,144,23,5,2,2,1,,,,,
A,11/1/2021,177,27,8,3,1,2,,1,,,
A,11/2/2021,189,8,,2,,,,,,,
A,11/3/2021,126,18,7,,1,,,,,,
A,11/4/2021,175,18,7,2,1,1,,3,,,
A,11/5/2021,226.5,16,2,3,,1,,2,,,
A,11/6/2021,199,21,4,2,,,1,4,,,
A,11/7/2021,408,18,3,1,1,,2,5,,,
A,11/8/2021,198,17,2,2,,2,1,1,,,
A,11/9/2021,206,22,7,2,,1,,4,,,
A,11/10/2021,215.5,18,7,2,2,1,1,1,,,
A,11/11/2021,329,16,4,3,1,,2,3,,,
A,11/12/2021,182,20,9,2,1,1,1,1,1,,
A,11/13/2021,477,16,1,2,2,3,,3,,,
A,11/14/2021,332,23,2,3,3,1,5,,,,
A,11/15/2021,351.5,24,6,4,4,3,1,2,,,
A,11/16/2021,261.5,33,6,8,4,,,5,,,
A,11/17/2021,333.5,23,6,2,2,,,7,,,
A,11/18/2021,204.5,17,6,2,2,,,3,,,
A,11/19/2021,270.5,20,4,3,3,1,1,1,1,,
A,11/20/2021,479.5,12,1,1,,,1,2,,,
A,11/21/2021,226,12,4,1,1,2,,,,,
A,11/22/2021,294,23,4,4,5,2,1,1,,,
A,11/23/2021,144,20,6,1,2,,1,1,,,
A,11/24/2021,398,26,3,5,3,3,,7,,,
A,11/25/2021,493.5,23,5,,2,2,3,5,,,
A,11/26/2021,440,26,2,4,7,,1,7,1,,
A,11/27/2021,562,21,1,2,4,1,3,6,,,
A,11/28/2021,712,18,3,2,,,1,8,,,
A,11/29/2021,537.5,24,2,2,4,2,3,6,,,
A,11/30/2021,271.5,23,3,4,3,,4,,,,
A,12/1/2021,296.5,33,8,3,2,2,1,8,,,
A,12/2/2021,345,19,3,6,1,,1,6,,,
A,12/3/2021,222,23,9,2,1,,,5,,1,
A,12/4/2021,233,14,6,,1,1,1,1,,,
A,12/5/2021,178,28,5,2,2,1,,4,,,
A,12/6/2021,209.5,24,10,5,,2,1,2,,,
A,12/7/2021,406.5,26,7,3,2,,2,6,,1,
A,12/8/2021,493,21,4,2,2,4,2,4,1,,
A,12/9/2021,421.5,27,5,2,2,1,1,8,1,,
A,12/10/2021,203,17,10,,1,1,,3,,,
A,12/11/2021,731,23,4,2,,,1,9,1,,
A,12/12/2021,221,14,5,,,,,3,1,,
A,12/13/2021,275.5,26,5,4,2,1,1,3,,,
A,12/14/2021,141,19,3,2,1,2,,1,,,
A,12/15/2021,363,27,4,3,1,,3,6,1,,
A,12/16/2021,603.5,16,,2,1,1,1,3,1,,
A,12/17/2021,250,16,4,3,1,,1,3,,,
A,12/18/2021,303,15,5,5,,3,,2,,,
A,12/19/2021,241,14,5,2,,,1,4,,,
A,12/20/2021,189,25,9,2,1,,,5,1,,
A,12/21/2021,198,19,9,6,,1,,1,,,
A,12/22/2021,162,17,3,1,2,,1,2,,,
A,12/23/2021,309,17,3,5,,,1,4,,,
A,12/24/2021,219,18,4,2,2,1,,,,,
A,12/25/2021,130,10,4,,1,,,,,,
A,12/26/2021,161,18,6,3,3,,,,,,
A,12/27/2021,403,18,3,4,3,2,2,3,,,
A,12/28/2021,278,17,2,3,,,1,5,,,
A,12/29/2021,507,22,1,7,1,1,1,7,,,
A,12/30/2021,423,27,4,3,5,,,9,,,
A,12/31/2021,210.5,17,4,3,1,3,,,,,
A,1/1/2022,181,15,3,2,1,1,,1,,,
A,1/2/2022,238,17,5,1,,,,6,1,,
A,1/3/2022,544,21,6,2,1,,1,6,2,,
A,1/4/2022,814,24,3,2,,2,1,9,,,
A,1/5/2022,355,15,3,1,2,1,,2,1,,
A,1/6/2022,139,22,8,3,1,1,1,,,,
A,1/7/2022,137,16,7,,1,1,,,,,
A,1/8/2022,331,14,2,3,4,,,,,,
A,1/9/2022,182,17,4,2,4,,,,,,
A,1/10/2022,151,15,4,1,1,,,1,,,
A,1/11/2022,252,19,6,3,2,2,2,1,,,
A,1/12/2022,466,20,1,1,2,1,,6,,,
A,1/13/2022,307,20,5,2,3,1,1,3,,,
A,1/14/2022,181.5,16,3,2,,3,,1,,,
A,1/15/2022,170,12,5,,2,1,,,,,
A,1/16/2022,201,10,2,1,1,,2,,,,
A,1/17/2022,220,24,6,4,1,,4,,,,
A,1/18/2022,181,24,5,3,,2,1,2,,,
A,1/19/2022,213,23,7,2,3,4,,,,,
A,1/20/2022,87,15,1,,1,,,,,,
A,1/21/2022,136,20,5,3,,,,,,,
A,1/22/2022,138,27,8,3,3,,,,,1,
A,1/23/2022,349,25,5,2,3,1,,8,,,
A,1/24/2022,294,19,3,4,,2,,5,,,
A,1/25/2022,255,20,4,6,2,1,1,,,,
A,1/26/2022,145,23,6,5,1,,1,,,,
A,1/27/2022,164,15,11,,1,,,,,,
A,1/28/2022,133.5,20,7,2,1,,1,,,,
A,1/29/2022,222.5,14,4,3,1,1,,1,,,
A,1/30/2022,181,13,3,2,1,,1,,,,
A,1/31/2022,105,18,4,1,,,,,,,
A,2/1/2022,97,13,5,,,,,,,,
A,2/2/2022,103,12,3,1,,,,,,,
A,2/3/2022,150,17,7,2,,,,,,,
A,2/4/2022,145,21,6,,2,1,1,,,,
A,2/5/2022,105.5,13,2,1,1,,,1,,,
A,2/6/2022,125,16,8,,,,,,,,
A,2/7/2022,129.5,17,8,,,,,,,,
A,2/8/2022,120,18,6,1,,,,,,,
A,2/9/2022,197,17,5,1,5,,,,,,
A,2/10/2022,124,17,7,,1,,,,,,
A,2/11/2022,159,18,9,1,1,,,,,,
A,2/12/2022,116.5,18,6,,1,,,,,,
A,2/13/2022,112,16,6,1,,,,,,,
A,2/14/2022,147,10,4,2,,,,,,,
A,2/15/2022,136.5,13,6,1,,,,,,,
A,2/16/2022,143,21,6,2,2,1,,,,,
A,2/17/2022,137.5,15,6,1,,,,,,,
A,2/18/2022,115,17,3,,1,,1,,,,
