Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
F,8/25/2021,172.5,45,19,10,1,1,2,,,,
F,8/26/2021,170,33,11,5,3,1,1,2,,,
F,8/27/2021,133,43,18,1,,1,1,4,,,
F,8/28/2021,150,34,8,6,,1,,,,3,
F,8/29/2021,102,28,8,1,1,,,,,,
F,8/30/2021,124,40,15,1,2,,3,,,,
F,8/31/2021,183,41,19,7,2,2,1,3,,,
F,9/1/2021,150.5,48,20,5,2,3,3,2,,,
F,9/2/2021,166,38,14,4,,3,1,3,,,
F,9/3/2021,194,33,9,6,4,1,1,1,,,
F,9/4/2021,149,25,11,4,,,,,,,
F,9/5/2021,103,25,10,1,,,,,,,
F,9/6/2021,116,36,12,2,1,1,,,,,
F,9/7/2021,144,38,15,5,2,1,,2,,,
F,9/8/2021,157,36,17,3,2,,1,1,,,
F,9/9/2021,165.5,39,22,4,,2,1,1,,,
F,9/10/2021,127,37,13,,2,3,,2,,,
F,9/11/2021,162.5,40,15,1,,1,,8,1,1,
F,9/12/2021,220,38,14,3,2,1,,8,1,,
F,9/13/2021,123,33,8,4,2,2,1,,,,
F,9/14/2021,151,43,20,7,2,1,,,1,,
F,9/15/2021,196,38,12,8,,1,,2,,,
F,9/16/2021,151,33,11,5,2,4,,,,,
F,9/17/2021,122.5,32,9,3,2,,1,1,1,,
F,9/18/2021,148,32,10,4,2,,,1,,1,
F,9/19/2021,127,39,12,5,3,1,,,,,
F,9/20/2021,313,36,8,6,3,1,2,8,1,,
F,9/21/2021,241,28,6,6,1,2,3,2,,,
F,9/22/2021,136,39,10,7,2,,,3,,1,
F,9/23/2021,153,35,15,4,3,,,,1,,
F,9/24/2021,158,44,19,5,3,2,,,,,
F,9/25/2021,166,33,14,4,1,1,1,,,,
F,9/26/2021,111.5,35,9,2,4,,,1,,,
F,9/27/2021,136,46,16,5,2,,1,2,1,,
F,9/28/2021,173,38,14,3,1,1,1,3,2,,
F,9/29/2021,149.5,30,5,8,1,2,,1,,,
F,9/30/2021,131,37,8,4,2,,4,1,,,
F,10/1/2021,155.5,34,18,4,2,,1,2,,,
F,10/2/2021,216.5,29,9,8,2,,1,,,,
F,10/3/2021,176,31,20,2,,,,,1,,
F,10/4/2021,250,40,12,7,4,1,2,7,,,
F,10/5/2021,272.5,32,12,10,3,2,3,,1,,
F,10/6/2021,159,45,25,4,,2,1,,,,
F,10/7/2021,136,43,18,4,,2,3,1,,,
F,10/8/2021,143,47,15,10,3,,1,1,,,
F,10/9/2021,131,33,13,1,2,2,,,,,
F,10/10/2021,200,35,19,3,4,,1,4,1,,
F,10/11/2021,224,34,13,9,2,2,1,2,,,
F,10/12/2021,177,36,17,5,,2,1,,,,
F,10/13/2021,114,40,13,2,,,,1,,,
F,10/14/2021,155,33,11,3,5,,,1,,,
F,10/15/2021,185,32,12,8,,1,,1,,,
F,10/16/2021,205,34,11,6,3,1,3,,,,
F,10/17/2021,112,25,8,3,1,,,,,,
F,10/18/2021,132,41,16,2,2,,1,1,,1,
F,10/19/2021,223,36,13,8,4,3,1,,,,
F,10/20/2021,153,38,15,6,,1,1,1,,1,
F,10/21/2021,188,37,11,2,4,3,3,2,,,
F,10/22/2021,170.5,39,18,8,2,,1,,,,
F,10/23/2021,162,43,25,,1,1,,1,,1,
F,10/24/2021,154,39,20,6,1,1,2,1,,,
F,10/25/2021,369,37,9,4,5,4,1,8,1,1,
F,10/26/2021,327,32,9,5,4,3,2,5,,,
F,10/27/2021,191,38,19,3,2,2,2,5,,,
F,10/28/2021,236,40,16,7,3,1,3,5,,,
F,10/29/2021,151,33,21,2,,1,,,,,
F,10/30/2021,123.5,35,17,1,,,,,,,
F,10/31/2021,136.5,44,20,,1,,,1,3,,
F,11/1/2021,310,43,10,5,3,1,1,13,1,,
F,11/2/2021,374.5,35,3,8,5,2,1,11,,,
F,11/3/2021,265,40,9,4,2,1,4,9,,,
F,11/4/2021,321,37,5,13,5,3,1,5,,,
F,11/5/2021,236.5,42,10,7,2,1,3,7,,,
F,11/6/2021,283,44,12,5,4,1,3,10,,,
F,11/7/2021,249,40,12,8,2,1,,11,,,
F,11/8/2021,688,31,4,1,3,1,2,10,4,,
F,11/9/2021,225,33,11,3,3,,3,5,2,,
F,11/10/2021,205,40,10,4,4,2,,6,1,,
F,11/11/2021,245,27,12,2,1,1,2,7,1,,
F,11/12/2021,290,33,9,9,2,,3,4,,,
F,11/13/2021,146,24,8,6,1,,,1,,,
F,11/14/2021,174,39,22,4,1,1,,4,,,
F,11/15/2021,423,38,7,4,6,2,3,12,1,,
F,11/16/2021,425.5,34,8,6,2,2,2,11,1,,
F,11/17/2021,781,30,5,3,1,1,2,13,2,,
F,11/18/2021,683,33,4,2,4,2,3,11,5,,
F,11/19/2021,372.5,33,7,5,4,3,3,6,1,,
F,11/20/2021,175,29,10,7,1,,,1,1,,
F,11/21/2021,180,30,9,3,2,,1,5,,,
F,11/22/2021,240,38,12,6,2,1,3,5,1,2,
F,11/23/2021,382.5,41,9,5,3,3,1,12,1,1,
F,11/24/2021,138.5,43,16,4,2,1,3,1,,,
F,11/25/2021,132,27,11,1,2,1,,,,,
F,11/26/2021,150,35,10,8,,2,,,,,
F,11/27/2021,347,34,4,10,3,6,3,3,1,,
F,11/28/2021,237,26,10,4,1,1,,6,,,
F,11/29/2021,362,37,6,4,3,2,3,10,,,
F,11/30/2021,406.5,39,7,6,4,2,2,12,,,
F,12/1/2021,714.5,41,7,7,2,1,,18,1,1,
F,12/2/2021,389.5,30,3,5,3,2,3,8,,,
F,12/3/2021,500,36,5,4,3,8,2,9,1,,
F,12/4/2021,323,33,6,6,4,1,3,5,,3,
F,12/5/2021,270,33,9,2,3,1,1,10,,,
F,12/6/2021,934,25,1,2,5,1,,11,2,1,
F,12/7/2021,418,37,6,8,4,5,4,8,,,
F,12/8/2021,503.5,33,6,4,3,3,,12,1,1,
F,12/9/2021,"1,004",33,3,1,1,2,3,14,4,,
F,12/10/2021,392,37,10,5,3,1,5,10,,,
F,12/11/2021,313.5,40,9,7,2,1,1,13,,,
F,12/12/2021,576,36,6,2,2,3,4,10,2,1,
F,12/13/2021,"1,247",37,2,,2,,1,21,7,1,
F,12/14/2021,471,27,6,1,4,3,1,8,1,,
F,12/15/2021,242.5,46,13,6,1,2,3,9,2,1,
F,12/16/2021,724,30,,3,3,2,2,14,1,,
F,12/17/2021,195,35,20,8,2,,,,,,
F,12/18/2021,178,22,11,4,1,,,,,,
F,12/19/2021,123,28,9,6,,,,,,,
F,12/20/2021,155,40,16,6,1,,,2,1,,
F,12/21/2021,129,41,19,4,,1,,,,,
F,12/22/2021,211,42,17,7,4,,2,4,,,
F,12/23/2021,183,37,11,9,2,1,,2,,,
F,12/24/2021,116,30,8,2,3,,1,,,,
F,12/25/2021,122,32,10,4,1,,1,,,,
F,12/26/2021,175,35,13,2,4,4,,2,1,,
F,12/27/2021,301,40,12,15,2,4,2,3,,2,
F,12/28/2021,265,41,14,7,4,1,3,5,3,,
F,12/29/2021,488,27,2,6,1,2,1,10,,,
F,12/30/2021,370,37,8,4,4,2,3,9,,,
F,12/31/2021,181.5,41,11,9,2,1,1,3,,,
F,1/1/2022,313,43,13,4,6,1,2,9,,1,
F,1/2/2022,385,31,6,4,4,,1,12,,,
F,1/3/2022,784,35,3,5,2,1,3,17,2,,
F,1/4/2022,386,35,8,4,4,3,3,6,1,1,
F,1/5/2022,261,38,11,7,1,,1,6,2,3,
F,1/6/2022,779,39,6,8,1,1,1,11,8,1,
F,1/7/2022,"1,108",31,1,1,1,1,4,15,5,2,
F,1/8/2022,996,25,,3,,2,1,14,2,,
F,1/9/2022,"1,013",29,2,5,4,1,,12,1,3,
F,1/10/2022,587,38,4,3,4,4,3,7,7,1,
F,1/11/2022,599.5,27,3,1,4,3,5,5,1,1,
F,1/12/2022,294.5,36,8,4,2,2,,10,,,
F,1/13/2022,506,39,2,7,6,6,4,10,,,
F,1/14/2022,264,53,16,9,3,1,2,10,1,1,
