Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
C,11/26/2021,121.5,4,1,,,,,,1,,
C,11/27/2021,92,3,,,,,,1,,,
C,11/28/2021,144.5,6,3,,1,,,,,,
C,11/29/2021,123,5,2,1,,,,,,,
C,11/30/2021,185,9,2,2,,,,1,,,
C,12/1/2021,66,7,2,,,,,,,,
C,12/2/2021,84,5,1,,,,,,,,
C,12/3/2021,197,8,1,,1,,1,,,,
C,12/4/2021,78.5,5,2,,,,,,,,
C,12/5/2021,65,3,1,,,,,,,,
C,12/6/2021,350,1,,1,,,,,,,
C,12/7/2021,151,7,4,,,,,,,,
C,12/8/2021,115,5,1,,,,,,,,
C,12/9/2021,417,6,1,,1,,2,,,,
C,12/10/2021,313,5,1,2,,,,1,,1,
C,12/11/2021,203,8,4,,1,,,,,,
C,12/12/2021,201,7,2,2,,,,1,,,
C,12/13/2021,199,3,,1,,,,,,,
C,12/14/2021,,4,,,,,,,,,
C,12/15/2021,811.5,2,,,,,,,1,,
C,12/16/2021,130,9,5,,,,,,,,
C,12/17/2021,135.5,4,3,,,,,,,,
C,12/18/2021,67,2,,,,,,,,,
C,12/19/2021,315,3,,1,,,,,,,
C,12/20/2021,142,7,1,1,1,,,,,,
C,12/21/2021,60,6,1,,,,,,,,
C,12/22/2021,79,5,1,,,,,,,,
C,12/23/2021,136,3,1,,,,,,,,
C,12/24/2021,103,6,2,,,,,,,,
C,12/25/2021,52.5,7,,,,,,1,,,
C,12/26/2021,403.5,6,,,,,1,2,,,
C,12/27/2021,146,9,2,2,1,,,1,,,
C,12/28/2021,171.5,6,2,1,1,,,,,,
C,12/29/2021,138.5,4,3,,,,,,,,
C,12/30/2021,146.5,6,2,1,,,,,,,
C,12/31/2021,136.5,6,1,1,,,,,,,
C,1/1/2022,105.5,3,1,,,,,,,,
C,1/2/2022,136,2,1,,,,,,,,
C,1/3/2022,96,9,2,,,,,1,,,
C,1/4/2022,45,4,,,,,,,,,
C,1/5/2022,81,4,,,,,1,,,,
C,1/6/2022,759.5,6,1,,,,1,2,,,
C,1/7/2022,167,5,2,1,,,,,,,
C,1/8/2022,88,5,,,,,,,,,
C,1/9/2022,369.5,5,1,1,,1,1,,,,
C,1/10/2022,100,5,1,,,,,,,,
C,1/11/2022,109,6,2,,,,,,,,
C,1/12/2022,162.5,6,3,,,,,,,,
C,1/13/2022,403.5,2,,,,,,1,,,
C,1/14/2022,96.5,7,1,1,,,,,,,
C,1/15/2022,104,11,3,,1,,,,,,
C,1/16/2022,82,7,,,,,,2,,,
C,1/17/2022,247,2,,1,,,,,,,
C,1/18/2022,149.5,4,1,,,,,,,,
C,1/19/2022,139.5,7,3,,,,,,,,
C,1/20/2022,174,9,5,1,,,,1,,,
C,1/21/2022,232,5,2,1,,,,,,,
C,1/22/2022,70,3,1,,,,,,,,
C,1/23/2022,43,2,,,,,,,,,
C,1/24/2022,446,4,1,,1,1,,,,,
C,1/25/2022,100,5,1,1,,,,,,,
C,1/26/2022,87,8,,,,,,,,,
C,1/27/2022,72.5,7,,,,,,2,,,
C,1/28/2022,156,5,1,,1,,,,,,
C,1/29/2022,88.5,9,2,,,,,,,,
C,1/30/2022,134,10,1,1,1,,,,,,
C,1/31/2022,210.5,8,1,1,1,,1,,,,
C,2/1/2022,191.5,12,4,,1,,,1,,,
C,2/2/2022,205,3,1,,,,,,,,
C,2/3/2022,111,3,,,,,,,,,
C,2/4/2022,88,7,2,,,,,,,,
C,2/5/2022,115,6,1,1,,,,1,,,
C,2/6/2022,284,8,3,1,,,,2,,,
C,2/7/2022,166,5,1,,,,,,,,
C,2/8/2022,75,2,,,,,,,,,
C,2/9/2022,82,6,1,,,,,,,,
C,2/10/2022,103,9,3,,,,,,,,
C,2/11/2022,106,8,2,,,,,,,,
C,2/12/2022,80.5,6,,,,,,,,,
C,2/13/2022,97.5,4,1,,,,,,,,
C,2/14/2022,107,10,2,,,,,,,,
C,2/15/2022,281,4,,3,,,,,,,
C,2/16/2022,128,3,2,,,,,,,,
C,2/17/2022,98,4,1,,,,,,,,
C,2/18/2022,109,4,1,,,,,,,,
C,2/19/2022,119,3,1,,,,,,,,
C,2/20/2022,41.5,3,,,,,,,,,
C,2/21/2022,132,8,6,1,,,,,,,
C,2/22/2022,97,5,,,,,,,,,
C,2/23/2022,109.5,8,2,1,1,,,,,,
C,2/24/2022,78,8,,,,,,,,,
C,2/25/2022,63,4,,,1,,,,,,
C,2/26/2022,97.5,5,1,,,,,,,,
C,2/27/2022,63,3,1,,,,,,,,
C,2/28/2022,138,8,4,,,,,,,,
C,3/1/2022,106,6,2,,,,,,,,
C,3/2/2022,139,3,2,,,,,,,,
C,3/3/2022,81,8,2,,,,,,,,
C,3/4/2022,79.5,2,,,,,,,,,
C,3/5/2022,64,4,,,,,,,,,
C,3/6/2022,111,2,,,,,,,,,
C,3/7/2022,140,6,2,1,,,,,,,
C,3/8/2022,155,8,2,1,,,,,,,
C,3/9/2022,60.5,7,,1,,,,,,,
C,3/10/2022,56.5,7,,1,,,,,,,
C,3/11/2022,69,8,1,,,,,,,,
C,3/12/2022,51.5,8,,,,,,,,,
C,3/13/2022,85.5,8,,,,,,,,,
C,3/14/2022,152,9,2,2,,,,,,,
C,3/15/2022,121,5,3,,,,,,,,
C,3/16/2022,109.5,5,1,,,,,,,,
C,3/17/2022,96.5,3,,,,,,,,,
C,3/18/2022,133.5,5,1,1,,,,,,,
C,3/19/2022,99.5,5,2,,,,,,,,
C,3/20/2022,85,11,1,1,,,,1,,,
C,3/21/2022,128,5,3,,,,,,,,
C,3/22/2022,107,5,2,,,,,,,,
C,3/23/2022,77,6,,,,,,,,,
C,3/24/2022,55,8,1,,1,,,,,,
C,3/25/2022,76,3,,,,,,,,,
C,3/26/2022,95,10,2,,,,,,,,
C,3/27/2022,61.5,9,1,1,,,,,,,
C,3/28/2022,115,7,1,,,,,,,,
C,3/29/2022,79,3,,1,,,,,,,
C,3/30/2022,103.5,2,1,,,,,,,,
C,3/31/2022,140.5,6,5,,,,,,,,
C,4/1/2022,101,5,1,,,,,,,,
C,4/2/2022,62.5,4,,,,,,,,,
C,4/3/2022,133,4,2,,,,,,,,
C,4/4/2022,147,8,2,,,,,,,,
