Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
D,7/23/2021,142.5,56,25,6,2,1,,1,,,
D,7/24/2021,119,44,17,5,,,,,,,
D,7/25/2021,125.5,40,17,3,,,,,,,
D,7/26/2021,150,60,30,8,1,,,,,,
D,7/27/2021,146,58,23,10,1,1,,,,,
D,7/28/2021,117.5,55,18,7,,,,1,,,
D,7/29/2021,144,53,30,5,1,1,,,,,
D,7/30/2021,124,65,26,5,2,2,,,,,
D,7/31/2021,136,46,21,3,,,,1,,,
D,8/1/2021,116,46,15,4,1,2,,,1,,
D,8/2/2021,125,59,21,6,4,,,1,,,
D,8/3/2021,131,50,23,5,,1,,1,,,
D,8/4/2021,111,60,19,7,1,,,,,,
D,8/5/2021,120,52,17,6,2,,,,1,,
D,8/6/2021,139,54,29,4,1,1,1,,,,
D,8/7/2021,150,49,25,7,,,,1,,,
D,8/8/2021,119,53,13,10,2,,,,,,
D,8/9/2021,111,48,12,9,,,,,,1,
D,8/10/2021,147.5,58,34,4,2,,,,,,
D,8/11/2021,131,63,29,6,1,1,,,,,
D,8/12/2021,152,44,20,4,,,,,1,1,
D,8/13/2021,134,46,25,4,,,1,,,,
D,8/14/2021,114,48,16,4,,1,,,,1,
D,8/15/2021,98,54,17,3,,,,,,,
D,8/16/2021,112.5,54,19,2,1,,,,,,
D,8/17/2021,120,53,22,4,1,,,,,,
D,8/18/2021,123,45,15,7,,1,,,,,
D,8/19/2021,140.5,58,29,4,,1,,1,,,
D,8/20/2021,127,43,20,5,1,,,,,,
D,8/21/2021,114,40,15,2,,,,,,2,
D,8/22/2021,114.5,55,19,3,3,,,,,1,
D,8/23/2021,112,51,23,1,,,,1,,,
D,8/24/2021,149,57,21,7,,1,,,1,1,
D,8/25/2021,110,60,19,8,,,,1,,,
D,8/26/2021,133,48,22,6,,,,1,,,
D,8/27/2021,143.5,58,30,5,2,1,,1,,,
D,8/28/2021,162.5,44,21,6,3,,,1,,,
D,8/29/2021,115,49,15,7,,,,1,,,
D,8/30/2021,156,66,26,12,1,1,,,,,
D,8/31/2021,104.5,53,14,6,,,,,1,1,
D,9/1/2021,160,48,33,5,,,,,,,
D,9/2/2021,131.5,44,18,4,,1,,1,,,
D,9/3/2021,133,56,27,6,2,,,,,,
D,9/4/2021,143.5,50,26,3,,1,,,,,
D,9/5/2021,131,38,17,5,,,,,,1,
D,9/6/2021,120,47,20,2,2,,,,,,
D,9/7/2021,129,55,21,6,1,,1,1,,,
D,9/8/2021,158,62,27,11,2,,,,,,
D,9/9/2021,143,54,21,4,4,,,,1,,
D,9/10/2021,144.5,56,26,6,1,1,,1,,,
D,9/11/2021,113,50,12,7,1,1,,1,,,
D,9/12/2021,128,49,17,7,,,,1,1,,
D,9/13/2021,126,56,14,9,2,2,1,,,,
D,9/14/2021,95.5,52,13,6,,,,,,,
D,9/15/2021,130,45,23,7,,,,1,,,
D,9/16/2021,166.5,69,31,9,7,1,,1,,,
D,9/17/2021,161,55,24,8,1,,,1,1,1,
D,9/18/2021,132,44,20,6,1,,,,,,
D,9/19/2021,135,52,20,4,2,2,,,,,
D,9/20/2021,130,50,16,5,4,1,,1,,,
D,9/21/2021,106.5,43,14,4,,,,2,,,
D,9/22/2021,135.5,61,28,8,,1,,,,,
D,9/23/2021,128.5,64,28,5,1,,1,,,,
D,9/24/2021,131,58,25,6,1,,,,,,
D,9/25/2021,122,45,21,3,,,,,,,
D,9/26/2021,136,46,22,6,1,,,1,,,
D,9/27/2021,171,59,29,11,1,,,1,,,
D,9/28/2021,145,50,22,5,4,1,,,1,,
D,9/29/2021,124,51,26,3,2,,,,,,
D,9/30/2021,107,54,17,5,,1,,,,,
D,10/1/2021,143,49,22,5,3,,,,,,
D,10/2/2021,108,45,15,1,1,,,,,,
D,10/3/2021,128,43,20,2,,1,,,,,
D,10/4/2021,125,56,25,3,1,1,1,,,,
D,10/5/2021,152,47,22,6,1,2,1,1,,,
D,10/6/2021,134,63,25,4,2,,1,1,,,
D,10/7/2021,139,70,35,3,2,1,,1,,,
D,10/8/2021,119,47,15,5,1,2,,,,,
D,10/9/2021,134,43,13,7,,1,,,,,
D,10/10/2021,112,46,16,4,,,1,1,,,
D,10/11/2021,156,62,18,12,3,,2,1,,,
D,10/12/2021,133,59,25,6,2,,,2,,,
D,10/13/2021,135.5,38,17,3,2,,,,,,
D,10/14/2021,131,59,34,1,2,,1,,,,
D,10/15/2021,169,51,14,11,3,,1,,,,
D,10/16/2021,173,45,21,13,1,,,,,,
D,10/17/2021,127,49,21,3,,2,,1,,,
D,10/18/2021,129.5,60,25,6,,,,,,,
D,10/19/2021,152,55,21,8,4,,,,,,
D,10/20/2021,136,56,26,4,,,,,,1,
D,10/21/2021,118,45,20,1,,,,,,,
D,10/22/2021,150,59,28,10,,,,,,,
D,10/23/2021,128,44,20,5,1,,,,,,
D,10/24/2021,119,60,18,7,1,,1,,2,,
D,10/25/2021,136.5,63,26,6,3,1,,,1,,
D,10/26/2021,119,45,21,2,,,,,,,
D,10/27/2021,128,59,24,5,,,,1,,1,
D,10/28/2021,140,47,17,7,1,,,2,,,
D,10/29/2021,159.5,57,24,8,1,,,1,,,
D,10/30/2021,143.5,42,16,8,,2,,,,,
D,10/31/2021,126,52,20,5,3,2,,,,,
D,11/1/2021,138,58,25,5,2,,,,,,
D,11/2/2021,140,54,22,6,1,2,,1,,,
D,11/3/2021,119.5,55,20,5,1,1,,,,,
D,11/4/2021,107,50,17,2,,,,,,,
D,11/5/2021,133,56,21,7,2,,,1,,,
D,11/6/2021,120,50,20,3,2,,,,,,
D,11/7/2021,146,36,11,6,3,1,,,,,
D,11/8/2021,167,41,16,8,2,1,1,1,,,
D,11/9/2021,154,53,27,7,3,1,,,,,
D,11/10/2021,145,42,11,5,1,4,1,1,,,
D,11/11/2021,178,58,26,11,2,1,1,,1,,
D,11/12/2021,149.5,58,25,8,2,,1,1,,,
D,11/13/2021,130,30,15,,,,,,,,
D,11/14/2021,117,40,16,3,1,,,,,,
D,11/15/2021,167.5,68,30,14,4,1,,,,,
D,11/16/2021,176,41,20,7,2,,1,,,,
D,11/17/2021,129.5,52,21,3,3,2,,,,,
D,11/18/2021,160.5,46,19,8,3,,,1,,,
D,11/19/2021,155,52,27,5,1,1,1,,,1,
D,11/20/2021,100,45,13,3,1,,1,1,,,
D,11/21/2021,143,42,15,5,3,,1,,,,
D,11/22/2021,122,69,22,10,3,,,1,,,
D,11/23/2021,150,49,18,8,1,,,,,,
D,11/24/2021,132,58,23,5,3,,,,1,,
D,11/25/2021,138,40,19,4,1,,,1,,,
D,11/26/2021,164,47,20,10,3,,,1,,,
D,11/27/2021,116,50,21,2,,,,,,,
D,11/28/2021,135,43,17,7,2,,,,1,,
D,11/29/2021,155,60,19,11,2,,,2,1,,
D,11/30/2021,136,59,21,7,2,,,4,,,
D,12/1/2021,119,45,19,1,2,,,,,,
D,12/2/2021,161.5,48,30,4,2,,,,,,
D,12/3/2021,143,48,21,6,2,1,,,1,,
D,12/4/2021,139,48,18,5,4,,,1,,,
D,12/5/2021,157,45,18,11,1,,,,,1,
D,12/6/2021,123,55,24,4,,,,,,,
D,12/7/2021,153.5,35,18,5,2,,,,,,
D,12/8/2021,116,46,18,2,1,1,,,,1,
D,12/9/2021,127,46,21,1,3,,,,,,
D,12/10/2021,164,52,20,8,2,1,,2,,,
D,12/11/2021,181,41,18,8,2,,,,2,,
D,12/12/2021,121.5,51,15,4,3,1,,,,1,
D,12/13/2021,153.5,56,31,5,1,,,,,,
D,12/14/2021,151,55,23,7,1,,,2,,,
D,12/15/2021,125,46,21,2,1,1,1,1,1,,
D,12/16/2021,118.5,31,11,1,1,,,,,1,
D,12/17/2021,138,58,32,6,1,,,,,,
D,12/18/2021,125,51,21,2,3,1,,1,,,
D,12/19/2021,139,50,23,4,3,,,,,,
D,12/20/2021,149,55,26,5,1,,1,,2,,
D,12/21/2021,182,54,29,8,2,,,1,,,
D,12/22/2021,176,46,18,8,1,,,2,1,2,
D,12/23/2021,167,50,25,5,1,2,,1,,,
D,12/24/2021,153.5,38,14,7,1,,1,,,,
D,12/25/2021,97.5,36,10,2,,,,,,,
D,12/26/2021,144,40,14,4,1,,1,2,,,
D,12/27/2021,136,50,24,4,1,1,,,,,
D,12/28/2021,126.5,38,17,2,,,,,,,
D,12/29/2021,141.5,42,18,5,2,,,,,,
D,12/30/2021,121,46,19,2,1,1,1,,,,
D,12/31/2021,144,52,26,6,1,1,,,,,
D,1/1/2022,116,49,18,5,,,,,,,
D,1/2/2022,154,40,21,1,,,,,1,,
D,1/3/2022,108,50,18,4,1,,,,,,
D,1/4/2022,128,45,22,4,,,,,,,
D,1/5/2022,121,50,20,4,1,,1,,,,
D,1/6/2022,154,55,22,7,2,1,1,1,,,
D,1/7/2022,143.5,53,25,6,3,,,,,,
D,1/8/2022,120,48,20,4,,,,,,,
D,1/9/2022,131,44,19,3,1,,,1,,,
D,1/10/2022,146,34,16,3,,1,,1,,,
D,1/11/2022,140,55,26,7,,,,,,1,
D,1/12/2022,152,49,24,6,2,,2,,,,
D,1/13/2022,129,35,22,1,,,,,,,
D,1/14/2022,161.5,54,26,9,1,,,,,,
D,1/15/2022,133,32,16,,,,1,,,,
D,1/16/2022,136,37,17,3,1,,,1,,,
D,1/17/2022,149,50,30,3,,,,,,,
D,1/18/2022,129.5,43,15,7,1,1,,1,,,
D,1/19/2022,143,43,23,5,1,,,1,,,
D,1/20/2022,125,46,17,6,,,1,,,,
D,1/21/2022,162,41,21,3,4,,,,,1,
D,1/22/2022,105,29,10,1,,,,,,,
D,1/23/2022,107.5,35,10,2,,,,,,1,
D,1/24/2022,133.5,54,24,3,1,,,1,,,
D,1/25/2022,153,35,15,3,1,2,,,,,
D,1/26/2022,118.5,37,15,2,,1,,1,,,
D,1/27/2022,110,39,12,1,,,,,,1,
D,1/28/2022,132.5,46,24,4,,,,1,,,
D,1/29/2022,118.5,37,12,6,,,,,,,
D,1/30/2022,108,37,14,2,,,,,,,
D,1/31/2022,140.5,43,20,4,1,,,1,,,
D,2/1/2022,138.5,48,23,6,1,,,1,,,
D,2/2/2022,110.5,52,14,2,2,1,1,2,1,1,
D,2/3/2022,100,55,21,2,1,,,1,,,
D,2/4/2022,156,53,27,6,1,,,,,,
D,2/5/2022,126.5,50,23,3,,1,,,,,
D,2/6/2022,141,35,18,3,,1,,1,,,
D,2/7/2022,177,58,20,10,3,1,,1,,1,
D,2/8/2022,122,56,27,2,,,,,1,,
D,2/9/2022,144.5,52,20,8,,1,,,,1,
D,2/10/2022,145,50,24,6,2,,,,,,
D,2/11/2022,112,44,17,1,,,,1,,,
D,2/12/2022,129,31,14,1,,,,,,,
D,2/13/2022,109,46,15,5,2,,,,,,
D,2/14/2022,149,66,30,9,2,1,,,,,
D,2/15/2022,125,49,20,4,,,,,,,
D,2/16/2022,140.5,47,17,4,3,,,,2,,
D,2/17/2022,135,49,21,3,,2,,,,,
D,2/18/2022,109,60,18,7,1,,1,,,,
D,2/19/2022,124.5,41,16,4,1,,,,,,
D,2/20/2022,94.5,62,15,5,,,,2,,1,
D,2/21/2022,106,33,7,8,,,,,,,
D,2/22/2022,137.5,39,13,6,,,,1,,1,
D,2/23/2022,145,47,23,5,1,,,,,,
D,2/24/2022,128,43,20,4,1,,,,,,
D,2/25/2022,130,46,21,4,1,,,,1,,
D,2/26/2022,139,39,17,5,,,,,,,
D,2/27/2022,129.5,44,17,8,,,,1,,,
D,2/28/2022,147.5,44,21,5,,1,,2,,,
D,3/1/2022,132,53,29,3,,,,1,,,
D,3/2/2022,119,47,19,4,,,,,,,
D,3/3/2022,123,51,20,4,2,,,,,,
D,3/4/2022,114,53,23,2,1,,,,,,
D,3/5/2022,123,39,16,2,,,,1,,1,
D,3/6/2022,117,42,15,2,,,,2,,1,
D,3/7/2022,137,59,25,7,,1,,,,1,
D,3/8/2022,123.5,47,20,2,,,,,1,,
D,3/9/2022,123,40,19,,1,1,,,,,
D,3/10/2022,127,43,19,2,1,,,1,,,
D,3/11/2022,126,59,23,3,4,1,,,,,
D,3/12/2022,135,47,27,2,,,,,,,
D,3/13/2022,121,54,21,5,,2,,,,,
D,3/14/2022,126,50,19,5,1,1,,,,,
D,3/15/2022,132,35,14,5,,,,,,,
D,3/16/2022,110,44,16,1,,,,,,,
D,3/17/2022,132,40,18,1,1,,,,,,
D,3/18/2022,141,53,24,8,1,,,,,,
D,3/19/2022,140,45,18,4,2,1,1,,,,
D,3/20/2022,130,49,26,2,,,,,,,
D,3/21/2022,175,43,16,8,4,,,,,,
D,3/22/2022,111.5,39,14,3,,,,,,,
D,3/23/2022,129,32,16,3,,,,,,,
D,3/24/2022,138,54,24,3,,1,,1,,,
D,3/25/2022,110.5,54,18,3,1,,,1,,,
D,3/26/2022,100.5,38,11,3,,1,1,,,,
D,3/27/2022,116.5,42,15,2,1,1,,1,,,
D,3/28/2022,117.5,53,20,5,,,,,,,
D,3/29/2022,103,50,20,2,,,,,,,
D,3/30/2022,110,42,11,4,1,,,1,,,
D,3/31/2022,146,48,24,6,,,,,,,
D,4/1/2022,128,49,26,1,,,,,,,
D,4/2/2022,108,49,17,3,,1,,,,,
D,4/3/2022,133,37,14,4,1,,,1,,,
D,4/4/2022,109.5,52,17,5,1,1,,1,,,
D,4/5/2022,131.5,41,16,4,1,,,1,,,
D,4/6/2022,120,51,20,5,1,,,,,,
D,4/7/2022,126,49,21,2,2,,,,,,
D,4/8/2022,104,56,17,7,,,,,,,
D,4/9/2022,114,50,18,4,,1,,,,,
D,4/10/2022,105,37,10,3,,1,,,,,
D,4/11/2022,107,66,21,7,,,,,,,
D,4/12/2022,87,43,15,,,,,,,,
D,4/13/2022,120.5,59,23,6,,,,,1,,
D,4/14/2022,115,37,16,1,,,,,,,
D,4/15/2022,116,41,15,3,,,,1,,,
D,4/16/2022,123,38,19,2,,1,,,,,
D,4/17/2022,117.5,45,17,2,1,,,,,,
D,4/18/2022,129,52,22,4,,,,,,,
D,4/19/2022,131,54,27,3,,,,,,,
D,4/20/2022,116,51,20,1,,,,,,,
D,4/21/2022,123,49,20,4,,,1,1,,,
D,4/22/2022,149,58,25,12,1,1,,1,,,
D,4/23/2022,129,57,26,6,2,,,,,,
D,4/24/2022,134,28,11,5,,,,,,,
D,4/25/2022,112.5,53,17,6,2,,,,,,
D,4/26/2022,144.5,51,19,9,,,,,,,
D,4/27/2022,109,54,18,4,,1,,1,,,
D,4/28/2022,121,46,17,4,1,,1,1,,,
