Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
B,5/24/2022,78,3,1,,,,,,,,
B,5/25/2022,105,8,1,,,,,,1,,
B,5/26/2022,71,10,1,,,,,,,,
B,5/27/2022,61,5,1,,,,,,,,
B,5/28/2022,107.5,6,1,1,1,,,,,,
B,5/29/2022,75.5,5,1,,,,,,,,
B,5/30/2022,122,4,2,,,,,,,,
B,5/31/2022,112,11,4,,,,,,,,
B,6/1/2022,57,9,2,,,,,,,2,
B,6/2/2022,112.5,3,1,,,,,,,,
B,6/3/2022,67.5,10,,,,,,,,,
B,6/4/2022,55,7,,,,,,1,,,
B,6/5/2022,29.5,5,,,,,,,,,
B,6/6/2022,122,14,3,2,1,,,,,1,
B,6/7/2022,108,7,,,1,,,,,1,
B,6/8/2022,68,5,,,1,,,,,,
B,6/9/2022,65,9,2,,,,,,,,
B,6/10/2022,41,4,,,,,,,,,
B,6/11/2022,74,5,1,,,,,,,,
B,6/12/2022,62.5,9,,,,,,,,,
B,6/13/2022,121.5,7,3,,,,,,,,
B,6/14/2022,75,6,1,,,,,,,1,
B,6/15/2022,84,5,2,,,,,,,,
B,6/16/2022,74,4,1,,,,,,,,
B,6/17/2022,128,5,1,,1,,,,,,
B,6/18/2022,89,9,1,,,,,,,,
B,6/19/2022,65,7,1,,,,,,,,
B,6/20/2022,55,2,,,,,,,,,
B,6/21/2022,68.5,4,1,,,,,,,,
B,6/22/2022,122.5,4,1,,,,,,,,
B,6/23/2022,80,7,3,,,,,,,,
B,6/24/2022,68,7,,,,,,,,,
B,6/25/2022,81.5,10,1,,1,,1,,,,
B,6/26/2022,115,4,1,,,,,1,,,
B,6/27/2022,108,4,1,,,,,,,,
B,6/28/2022,178,9,2,,1,1,,,,,
B,6/29/2022,82,8,2,,,,,,,,
B,6/30/2022,160,9,4,1,,,,,,,
B,7/1/2022,90.5,8,,,1,,1,,,,
B,7/2/2022,90,7,2,,,,,,,,
B,7/3/2022,146,5,,2,,,,,,,
B,7/4/2022,62.5,4,,,,,,,,,
B,7/5/2022,81,7,2,,,,,,,,
B,7/6/2022,64,4,,,,,,,,,
