Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
G,4/22/2022,169,57,22,7,2,3,3,,,,
G,4/23/2022,143,55,20,6,5,2,1,1,,,
G,4/24/2022,135,41,18,2,2,1,,1,1,,
G,4/25/2022,161,48,14,5,4,1,1,6,,,
G,4/26/2022,210.5,41,21,4,2,1,1,3,1,,
G,4/27/2022,191.5,41,19,8,2,1,1,1,,,
G,4/28/2022,274,48,11,6,7,1,1,10,,,
G,4/29/2022,233,38,13,7,2,3,,6,,,
G,4/30/2022,147,40,11,3,4,,,4,,,
G,5/1/2022,196,37,13,1,3,3,3,3,,,
G,5/2/2022,340,57,11,9,4,8,6,7,1,,
G,5/3/2022,259,50,6,14,4,1,3,5,,2,
G,5/4/2022,325,35,8,8,3,1,4,5,1,,
G,5/5/2022,193,41,12,6,4,1,,5,,,
G,5/6/2022,174,37,20,6,2,2,,,,,
G,5/7/2022,129.5,37,16,2,1,,,1,,,
G,5/8/2022,142,40,7,5,2,3,,3,,,
G,5/9/2022,186,50,17,4,6,1,5,2,1,,
G,5/10/2022,178,56,19,12,4,2,,,,1,
G,5/11/2022,345.5,47,10,8,7,3,5,7,,,
G,5/12/2022,276,51,12,13,10,2,,1,,1,
G,5/13/2022,294,39,9,6,3,2,1,9,,,
G,5/14/2022,242,35,6,6,3,4,2,2,,,
G,5/15/2022,166.5,41,22,4,1,2,2,,,,
