
"DOS (No Time)","Median Decision to Departure","Total Admitted Pts","2-4 Hours","4-6 Hours","6-8 Hours","8-10 Hours","10-12 Hours","12-24 Hours","24-36 Hours","36-48 Hours","> 48 Hours"
"7/30/21","69","7","1","","1","","","","","",""
"7/31/21","136","6","2","1","","","","","","",""
"8/1/21","53.5","11","1","1","","","","","","",""
"8/2/21","132.5","9","2","1","2","","","","","",""
"8/3/21","70.5","4","","","","","","","","",""
"8/4/21","81","8","2","","","","","","","",""
"8/5/21","95","7","2","","1","","","","","",""
"8/6/21","42","5","","","1","","","","","",""
"8/7/21","41","5","","","","","","","","",""
"8/8/21","70","10","1","1","","","","1","","",""
"8/9/21","199","9","2","1","2","1","","","","",""
"8/10/21","51","4","","","","","","","","",""
"8/11/21","56","7","2","","","","","","","",""
"8/12/21","58","6","","","","","","","","",""
"8/13/21","44","8","","","","","","","","",""
"8/14/21","38","6","","1","","","","","","",""
"8/15/21","45","5","","","","","","","","",""
"8/16/21","69","8","1","1","1","","","","","",""
"8/17/21","41","3","","1","","","","","","",""
"8/18/21","104","9","1","1","","","","","","",""
"8/19/21","262.5","4","1","1","1","","","","","",""
"8/20/21","53","1","","","","","","","","",""
"8/21/21","51","2","","","","","","","","",""
"8/22/21","116.5","8","4","","","","","","","",""
"8/23/21","231","7","1","1","2","","","","","",""
"8/24/21","37","3","","","","","","","","",""
"8/25/21","42","9","1","","","","","","","",""
"8/26/21","66","6","1","","","","","","","",""
"8/27/21","64.5","8","","1","","","","1","","",""
"8/28/21","50","6","1","","","","","","","",""
"8/29/21","185","5","2","1","","","","","","",""
"8/30/21","93","6","1","","","","","1","","",""
"8/31/21","91.5","8","1","","1","","1","","","",""
"9/1/21","82","2","1","","","","","","","",""
"9/2/21","50","3","","","","","","","","",""
"9/3/21","118","7","1","2","","","","","","",""
"9/4/21","125.5","8","4","","","","","","","",""
"9/5/21","122","7","3","1","","","","","","",""
"9/6/21","162","7","4","","","","","","","",""
"9/7/21","197","9","2","2","","","","","1","",""
"9/8/21","242","3","","","1","","","","","",""
"9/9/21","137.5","4","2","","","","","","","",""
"9/10/21","99","1","","","","","","","","",""
"9/11/21","54","7","1","","","","","","","",""
"9/12/21","95","3","1","","","","","","","",""
"9/13/21","47","4","1","","","","","","","",""
"9/14/21","","1","","","","","","","","",""
"9/15/21","178.5","4","2","","1","","","","","",""
"9/16/21","68.5","2","","","","","","","","",""
"9/17/21","93","5","1","","","","","","","",""
"9/18/21","82.5","4","1","","","","","","","",""
"9/19/21","91","8","3","","","","","","","",""
"9/20/21","142","11","3","2","1","1","","","","",""
"9/21/21","120","4","1","","1","","","","","",""
"9/22/21","55","4","","","","","","","","",""
"9/23/21","69","8","2","1","","","","","","",""
"9/24/21","119","11","2","2","1","","","","","",""
"9/25/21","169","3","2","1","","","","","","",""
"9/26/21","86","5","","","","","","1","","",""
"9/27/21","113","4","1","1","","","","","","",""
"9/28/21","59","7","2","","","","","","","",""
"9/29/21","188","6","2","","","","","1","","",""
"9/30/21","84","8","2","1","","","","","","",""
"10/1/21","145","3","2","1","","","","","","",""
"10/2/21","127","2","","1","","","","","","",""
"10/3/21","38","2","","","","","","","","",""
"10/4/21","83","8","1","","1","","","","","",""
"10/5/21","158","4","3","","","","","","","",""
"10/6/21","105.5","2","1","","","","","","","",""
"10/7/21","53","6","1","1","","","","","","",""
"10/8/21","267","7","1","4","","","","1","","",""
"10/9/21","49","3","1","","","","","","","",""
"10/10/21","143","3","1","","1","","","","","",""
"10/11/21","91","4","1","","","","","","","",""
"10/12/21","114.5","6","3","","","","","","","",""
"10/13/21","74.5","10","1","","","","","","","",""
"10/14/21","64.5","5","","","","","","","","",""
"10/15/21","106.5","4","2","","","","","","","",""
"10/16/21","177.5","2","2","","","","","","","",""
"10/17/21","103","8","2","1","","","","","","",""
"10/18/21","156","9","3","","2","","1","","","",""
"10/19/21","54","6","","","","","","1","","",""
"10/20/21","83","8","2","","","","","","","",""
"10/21/21","234","6","1","1","","1","","","","",""
"10/22/21","67.5","4","","1","","","","","","",""
"10/23/21","52","3","","","","","","","","",""
"10/24/21","87","12","3","","","","","","","",""
"10/25/21","97.5","9","3","","","","","","","",""
"10/26/21","88","11","4","1","","","","","","",""
"10/27/21","53","4","","","","","","","","",""
"10/28/21","158","7","3","1","","1","","","","",""
"10/29/21","155.5","6","3","","1","","","","","",""
"10/30/21","37.5","4","","","","","","","","",""
"10/31/21","102","5","1","1","","","","","","",""
"11/1/21","74.5","6","2","","","","","","","",""
"11/2/21","216","4","1","1","","","","","","",""
"11/3/21","126","7","3","1","","","","","","",""
"11/4/21","60","3","","","","","","","","",""
"11/5/21","45","8","","1","","","","","","",""
"11/6/21","73","8","1","1","","","","","","",""
"11/7/21","40","6","2","","","","","","","",""
"11/8/21","72.5","7","","","","","","","1","",""
"11/9/21","57","7","2","","","","","","","",""
"11/10/21","174","4","2","1","","","","","","",""
"11/11/21","148","2","","1","","","","","","",""
"11/12/21","135","8","2","2","","","","","","",""
"11/13/21","99","2","","","","","","","","",""
"11/14/21","72","5","1","","","","","","","",""
"11/15/21","62.5","2","","","","","","","","",""
"11/16/21","29","3","","","","","","","","",""
"11/17/21","48.5","4","","","","","","","","",""
"11/18/21","63.5","7","","","","1","","","","",""
"11/19/21","105","7","2","1","","","","","","",""
"11/20/21","40","3","","","","","","","","",""
"11/21/21","102","8","1","","","","","","","",""
"11/22/21","82","5","1","","1","","","","","",""
"11/23/21","65","8","1","1","","","","","","",""
"11/24/21","88.5","6","1","1","","","","","","",""
"11/25/21","49.5","7","2","","","","","","","",""
"11/26/21","38.5","4","","","","","","","","",""
"11/27/21","159","5","1","1","","1","","","","",""
"11/28/21","55","4","","","","","","","","",""
"11/29/21","138","3","1","","","","","","","",""
"11/30/21","164","3","2","","","1","","","","",""
"12/1/21","55","7","","1","","","","","","",""
"12/2/21","165.5","9","4","","","","","1","","",""
"12/3/21","52.5","4","1","","","","","","","",""
"12/4/21","69","3","","","","","","","","",""
"12/5/21","38","3","","","","","","","","",""
"12/6/21","40","5","","1","","","","","","",""
"12/7/21","235.5","4","2","2","","","","","","",""
"12/8/21","80","7","2","","","","","","","",""
"12/9/21","56.5","6","2","","","","","","","",""
"12/10/21","47","4","","","","","","","","",""
"12/11/21","35","5","","","","","","","","",""
"12/12/21","67.5","6","","","","","","","","",""
"12/13/21","93","4","1","","","","","1","","",""
"12/14/21","101","9","1","","2","","","","","",""
"12/15/21","98","8","1","","","","","1","","",""
"12/16/21","143","9","2","3","","","","","","",""
"12/17/21","121","3","1","1","","","","","","",""
"12/18/21","147.5","8","3","","1","","","","","",""
"12/19/21","122","1","1","","","","","","","",""
