Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
J,9/25/2021,92.5,10,2,1,1,,,,,,
J,9/26/2021,118.5,22,7,3,1,,,,,,
J,9/27/2021,121.5,16,5,3,,,,,,,
J,9/28/2021,102.5,34,8,1,,,,3,1,1,
J,9/29/2021,199,11,4,1,,1,1,1,,,
J,9/30/2021,107,23,5,1,,,,4,,,
J,10/1/2021,115,16,5,,1,1,,,1,,
J,10/2/2021,113,30,10,1,,1,1,1,,,
J,10/3/2021,417,25,6,2,3,2,2,5,1,,
J,10/4/2021,675,18,1,1,1,,1,7,1,,
J,10/5/2021,140,15,5,1,,,,2,,,
J,10/6/2021,101,22,5,1,,1,,,,,
J,10/7/2021,327,16,3,4,2,1,1,,2,,
J,10/8/2021,126.5,26,8,2,2,1,,1,,,
J,10/9/2021,106,17,4,1,,,,1,,,
J,10/10/2021,137,21,8,3,,,,,,,
J,10/11/2021,146,21,5,2,,,,5,,,
J,10/12/2021,87,26,3,1,,1,1,,1,,
J,10/13/2021,199,25,10,4,1,1,2,1,,,
J,10/14/2021,124,17,7,,,,,2,,,
J,10/15/2021,169,19,5,4,3,1,,,,,
J,10/16/2021,121,19,6,2,,,1,1,,,
J,10/17/2021,87.5,16,1,2,,,,,,1,
J,10/18/2021,119.5,22,8,,1,1,1,,,,
J,10/19/2021,70,22,5,,,1,,,,,
J,10/20/2021,246,25,5,7,2,2,,3,,,
J,10/21/2021,199,21,5,1,1,1,2,5,,,
J,10/22/2021,142.5,20,6,2,1,1,1,,,,
J,10/23/2021,176,20,5,1,1,2,3,2,,,
J,10/24/2021,153,18,6,3,2,,,2,,,
J,10/25/2021,117,25,6,2,,,2,2,,,
J,10/26/2021,83,19,3,,2,,,,,,
J,10/27/2021,80,17,2,2,,1,,,,,
J,10/28/2021,107.5,34,8,3,1,,1,,2,,
J,10/29/2021,168,17,7,2,,1,,,,,
J,10/30/2021,71,20,2,3,1,1,,,,,
J,10/31/2021,99,21,6,1,,,,1,,,
